Modelo,Acurácia,F1,Precisão,Sensibilidade,Especificidade
KNN,0.8683544303797468,0.8680701624534752,0.8699708991171565,0.8683544303797468,
Decision Tree,0.8784810126582279,0.8788875083959062,0.879657620503651,0.8784810126582279,
Naive Bayes,0.8177215189873419,0.8181897099482155,0.8194209959148901,0.8177215189873419,
Logistic Regression,0.9341772151898734,0.9342100690878958,0.9357171045531899,0.9341772151898734,
MLP,0.8962025316455696,0.8966961137030294,0.8996309867605374,0.8962025316455696,
SVM,0.8987341772151899,0.8975114761112696,0.9004519587171123,0.8987341772151899,
Random Forest,0.9164556962025318,0.916738245938258,0.9185393684511973,0.9164556962025318,
Bagging,0.908860759493671,0.9098547515706716,0.9144316753027788,0.908860759493671,
Boosting,0.9189873417721518,0.9186879253512761,0.9189436294383746,0.9189873417721518,
GradientBoosting,0.9037974683544304,0.9040091000355879,0.9047152705083341,0.9037974683544304,
Ensemble,0.8734177215189873,0.8728635730965857,0.8733932365611372,0.8734177215189873,
Stacking,0.881012658227848,0.8810061532452347,0.8839900946268908,0.881012658227848,
Blending,0.9088607594936707,0.9090225368127965,0.9136596648963836,0.9088607594936707,
